spa|pbb
utilizar (v.t)|cseelpi'j-
hacer pliegues (v.t)|cseembu'j-
hacer servir (v.t)|cselpi'j-, caaselpi'j
diez (adj)|csemba
guiñar (v.t)|csẽ'sẽ-
entre (prep)|cshavyte, cshavysu
en medío de (adv)|cshavyte, cshavysu, pyãjte
soñar (v.t)|csha'w-
sueño (m)|csha'w, deewẽeni
echar huso- (v.t)|cshi’ta'j-
hacer reír (v.t)|cshiica'j-
cocina (f)|csina
hacer sonar (v.t)|csuusu'j
alborotar (v.t)|csuusu'j-
hacer dañar (v.t)|csuuwu'j-
causar sentir 'señas' (v.t)|cta'ñi'j-
cruzar (v.t)|ctejca-
pasar (al otro lado) (v.i)|ctejca-
atravesar (pasar de un lado a otro) (v.t)|ctejca-, uycjẽw-
mandar lavar (v.t)|ctjeetje'j-
hacer mirar (v.t)|ctjengu'j
hacer extender los brazos (v.t)|ctsja'jya'j-
hacer eructar (v.t)|ctu'fi'j
emborrachar (v.t)|ctũ'j-
cargar (echar carga) (v.t)|ctu'se'j-
hacer poner (v.t)|ctyaaja'j-
molestamente (adv)|cuch
molesto, molestoso (adj)|cuch
arenoso (adj)|cu'ch
desmoronar (v.t)|cu'ch-
hacer bulla (v.i)|cuch susu-
molestar (v.t)|cuch vit-, cuch yuu-
poner pereque (v.t)|cuch vit-, cuuchi'j-
molestar (con hablar) (v.t)|cuch we'we-
preocuparse (v.r)|cuch yajcy-
cerdo (m)|cuchi
marrano (m)|cuchi
puerco (m)|cuchi
hocico (m)|cuchi īts
horqueta (para puerco) (f)|cuchi tel
aburrirse (v.r)|cuchi-, ya'cuchi-
niño (hablando con afecto)|cuẽ
sabaleta (pez) (f)|cue quiwe wendy
relampaguear (v.i)|cuejne-,(rep) cueneene-, cuentete-
contar un relato (v.t)|cuentu'j
relatar (v.t)|cuentu'j-
arruga (f)|cue'nz
fruncir (v.t)|cue'nzhu-, cue'nzu-
nosotros, nosotras (pron.pers)|cue'sh
por nosotros|cue'sh pa'gate
nuestro, nuestra (pron.pos)|cue'sh, cue'shjīi
Nuestro Salvador|cue'shtyi nwe'wesa
Creador (m)|cue'shtyi taqui'sa
piedra (f)|cuet
roca (f)|cuet peña
cobertizo (de roca)|cuet pwa'
apedrear(v.t)|cuet wãatãtãj-
congelar (v.i)|cuet yuu-
mambe (m)|cuetand
arena (f)|cuetmuse, muse
chuleo (planta) (m)|cuetpũts, vyuutyjã'
granizo (m)|cuetumba
abollar (v.t)|cuẽtya-
bastante (adj)|cuj
muchos (adj)|cuj
bailar (v.i)|cu'j-
varias veces|cuj us
dudar (v.t)|cuj yajcy-
vacilar (v.t)|cuj yajcy-
varios (adj)|cuj, cũj
multiplicar (v.t)|cũja-
bailador (m,f)|cu'jsa
baile (m)|cu'ju
sopa (f)|cujya
cocinar yerba|cujya-
cogollo (m)|cul
derecho (adj)|cu'le
recto (adj)|cu'le, sut
alinear (v.t)|cu'le'j-
enderezar (v.t)|cu'le'j-
acogollar (v.i)|culu-
retoñar (echar cogollo) (v.i)|culúu-
moján, mojano (ser sobrenatural) (m)|cumby
jigra de tejido flojo|cumby ya'ja
untar (v.t)|cu'nd-
cuchara (hecha de calabaza)|cunzha
despulpar (café) (v.t)|cuñ-
castrar (v.t)|cuñ-, cpuunu'j-
enlazar (v.t)|cũ'p-
soga (f)|cũ'p cja'tya
búho (m)|cupe, tyi'fy
lechuza (ave nocturna) (f)|cupe, tyi'fy
meter (cosa gruesa) (v.t)|cupjat-
candelilla (f)|cupjy, ipy cjũch, ech cupjy
descascarar (v.t)|cupy-, tupy-
quiebra maíz (moler bastante grueso) (v.t)|cupytende-
noche (f)|cus
exprimir (v.t)|cu's-
quitar (despojar o privar de algo) (v.t)|cusa'j- , ncuusa‘j-
día siguiente|cuscay, cuscus (T)
mañana (adv)|cuscay, cuscus (T)
hasta mañana|cuscaypcach
hasta mañana|cuscaypcach, cuscuspcach (T)
mano (f)|cuse
músculo (m)|cuse chavy
dorso de la mano|cuse meetjacue
dorso de la mano (m)|cuse meetjacue
manco (adj)|cuse much
dedo (m)|cuse mush
dedo pulgar (m)|cuse njī'j
pulgar (m)|cuse njī'j
meñique (dedo) (adj)|cuse nuuch
prestar ayuda (v.t)|cuse peequi'j-, cu'ta peequi'j- (lit. prestar la mano o espalda)
muñeca (de la maño) (f)|cuse pẽtyj
brazo (inferior) (m)|cuse pi '
antebrazo (m)|cuse pil
palma de la mano|cuse pjapj
palma de la mano (f)|cuse pjapj
palmo menor (medida, ancho de los cuatro dedos) (m)|cuse pjapj
dedo cordial (medio) (m)|cuse ũus
índice (dedo) (m)|cuse vijya
dedo de la mano|cuse vyllill, cuse vi'ya (T)
tendón (de la mano) (m)|cuse watse
aplaudir (v.t)|cusega jypetyatya-
con la mano|cuseju
con la mano|cuseju
en la mano|cúsete
hacer estrechar las manos (v.t)|cusety cũusu'j
cruzar los brazos (v.t)|cusety jyaw-
vulva (f)|cush
por la mañana|cusīi
madrugar (v.i)|cusīi quiite-
medianoche (f)|cuspyãj
braza, brazada (medida) (f)|cu'ta
húmero (m)|cu'ta dyi'tj
hombro (m)|cu'ta, bap (J), bamba (T)
lado opuesto (adv)|cute
al lado opuesto|cútete
alejar (v.t)|cutyi'j-
sacar (v.t)|cutyi'j-
maíz (m)|cutyj
maíz común|cutyj bej
maíz blanco|cutyj chijme
pelusa de maíz (f)|cutyj cjas
maíz en grano|cutyj cjavy
maizal (sin mazorca)|cutyj dyi'tj ej
maizal (m)|cutyj ej
maíz pirá|cutyj mush
maíz sarazo|cutyj tupj
maíz capio|cutyj wajwa
hacer brincar (v.t)|cuupjũ'j-
hartar (v.t)|cuuta'j-
dejar tocar (v.t)|cuutsje'j-
arrimar (v.t)|cuutya'j-
acercar (v.t)|cuutya'j-, nuyutya-
flauta (f)|cuvy
tocar flauta (v.t)|cuvy-
flautista (m)|cuvysã
músico (m)|cuvytewe'sh
absceso (m)|cuw
tumor (m)|cuw
impartir (calor, luz) (v.i)|cu'w-
hacer coger (v.t)|cuwe'j-
formar tumor (o chupo) (v.i)|cuwũu-
mirar (adentro) (v.t)|cuy-
consolar (v.t)|cviisha'j-
hacer desyerbar (v.t)|cviisu'j
hacer entretenerse (v.t)|cviisu'j-
freír (v.t)|cviitj-
mandar hacer (v.t)|cviitu'j
atacar (v.t)|cvis-
azuzar (v.t)|cvis-
provocar (v.t)|cvis-
hacer cortar (el pelo) (v.t)|cwaaca'j-
cansar (causar cansancio) (v.t)|cwaaty i'j-
fatigar (v.t)|cwaatyi'j-
causar pereza (v.t)|cwa'lu'j-
desagradar (v.t)|cwa'lu'j-
hacer tener pereza (v.t)|cwa'lu'j-
lavar las manos (v.r)|cweechãa-
causar hambre (v.t)|cwẽeje'j-,
endurecer (v.t)|cweeji'j-, cwe'lli'j-
abanicar (v.t)|cweejya'j-
aventar (v.t)|cweejya'j-
abanico (m)|cweejya'jni
hacer arrastrar (v.t)|cweenzhi'j-
permitir oír (v.t)|cwẽese'j-
tambor (m)|cwẽeta
hacer caer (v.t)|cweete'j-
cohete (m)|cwẽetes
alumbrar (v.i)|cweetj-
iluminar (v.t)|cweetj-
iluminación (f)|cweetjnisa
mandar comprar (v.t)|cweeyu'j-
brillar (v.t)|cwejne-, cweetj-, pu'i nene-
zarza (planta) (f)|cwendyimbu
calabazo (para coca)|cwetand tuca
permitir hablar (v.t)|cwe'we'j-
helecho (m)|cwẽ'yã
hacer correr (v.t)|cwuwu'j-
suyo, suya (de él, ella) (pron.pos)|cyãa jīi tyãa jīi
aquél, aquélla (pron)|cyãa, tyãa
él (pron.pers)|cyãa, tyãa
ella (pron.pers)|cyãa, tyãa
ese, esa (pron.dem)|cyãa, tyãa
hacer cargar (v.t)|cyaacje'j-
rodear (v.t)|cyaandu-
hacer arrear (v.t)|cyaatsqui'pu'j-
suyos, suyas (de ellos, ellas) (pron.pos)|cyãawe'sh jīi , tyãawe'sh jīi
decir (v.t)|cyã'ji-, tyã'ji-
enredar v.t)|cya'ndu'j-
hacer cubrir (v.t)|cya'patje'j-
hacer tropezar (v.t)|cy'chavi'j-, caayu'spẽtje'j-, cyu'spẽtje'j-
maldecir (v.t)|cysew-
maldición (f)|cysew we'weni
mentar, mencionar (v.t)|cysus-
basura (f)|cytã'
hacer basura (v.t)|cytã'ja'j-
guitarra (f)|cytala
músico (que toca guitarra)|cytala tucasa
cuerda de guitarra|cytala wes
rodear (v.t)|cytandy-
polvo (m)|cytã'tujnd
ahí (adv)|cyte, cysu
allá, allí (adv)|cyte, cysu
hasta allí|cytee pa'j
unido (adj)|cyteerraj
apretar (v.t)|cytemũu-
cumplir (v.t)|cytey yuu-
arco iris (m)|cytũus
permitir hacer (v.t)|cyũ'ju'j-
en vano (adv)|cyul
vano, en vano (adj)|cyul
no en vano (adv)|cyulmẽe
hacer parar (v.t)|cyuuju'j-
encerrar (v.t)|cyuupj-
hacer atajar (v.t)|cyuupu'j-
causar tristeza (v.t)|cyũusu'j-
entristecer (v.t)|cyũusu'j- (cñusu'j-)
causar sed (v.t)|cyũ'wẽ'j-
indígena andaquí (m,f)|daaquí
Andaquí (indígenas de Huila) (m,f)|daaquī
acariciar (v.t)|da'cj-, sũcja'cja-
menear (v.t)|davy-
revolver (v.t)|davy-
cama (f)|deeni atũ
estar acostado (v.i)|deeni ũs-
estar dormido (v.i)|deeni ũs-
dormido (p.p)|deeni, deeni ũsa'
cobija (f)|deepa'chni, plliisatu (T)
bostezar (v.i)|deeway-
tener sueño (v.i)|deewẽje-
acostarse (v.r)|dej-
dormir (v.i)|dej-
trasnochar (v.i)|dejmẽe pe'te-, deepang-
dormilón (adj)|denzh
pagar (v.t)|dewe-
entregar (v.t)|ducj-
pesado (adj)|duj
ponerse pesado (v.i)|dujãa-
panela (f)|dulse
aprisa (adv)|dund
prisa (f)|dund
pronto (adv)|dund
tarabita (f)|dund yaj, tund yaj
a prisa, de prisa|dund yuj
rápidamente (adv)|dundtey, dundte
parir (v.i)|duu-
poner huevos (v.t)|duu-
nido (m)|duu yat
ponedora (f)|duusã
cabello (m)|dycjas
pelo (m)|dycjas
pelón (adj)|dycjas much
cabello rizado|dycjas shũ'sh
cabecera (f)|dyictjẽ ju'ngu
calvo (adj)|dyictjẽ sũpy
cabeza (f)|dyictjẽ, jycuet, tsũcj (T)
caspa (f)|dyicy
hondo (adj)|dyii, jyu'j
antemano (adv)|dyiicjẽy
debajo (adv)|dyiiga, tashga
adentro (adv)|dyiite, dyiiga
interno (adj)|dyiitewe'sh
camino (m)|dyi'j
vía (f)|dyi'j
orilla (del camino)|dyi'j putste
viajar (v.i)|dyi'j u'j-
practicar brujería (v.t)|dyij yuu-
brujería (f)|dyij yuuni
hechicería (f)|dyij yuunī
hechicero (m)|dyij yuusã
brujo (m)|dyij yuusã, mestlu, tjẽ'j
ciertamente (adv)|dyij, yuj
activo (adj)|dyijca, catyj
casi (adv)|dyíji
afeitar (v.t)|dyindy-
rasurar (v.t)|dyindy-
cara (f)|dyi'p
rostro (m)|dyi'p
enfrente (adv)|dyi'pte, dyi'puwe'sh
ante (prep)|dyi'pte, tashte
hueso (m)|dyi'tj
Dios (m)|Dyus
orar (v.i)|Dyus yacj puuty we'we-
Palabra de Dios|Dyus yuwe
creyente (m,f)|Dyusa's yaacysa
madrina (f)|dyuus mama, neenjī'j
padrino (m)|dyuus tata, neeney
iglesia (f)|dyuus yat
fuera de (adv)|eca, ecaj
afuera (adv)|eca, ecate
extranjero (m)|ecajuwe'sh, vite quiwejuwe'sh
demonio (m)|ech
endemoniado (adj)|ech iiyanuinisa, ech luucu vitnisa
viudo (m)|ech pijts
viuda (f)|ech u'y
fiera (f)|ech, yu'cj ech
fregado (adj)|echech
perico plomo (ave nocturna) (m)|echtel
diablo (m)|echtjẽ'j
luciérnaga (insecto) (f)|echtsẽy, cupjy, cupjipy
leña (f)|e'cy
sangre (f)|ee
mal agüero (nube negra) (m)|ẽe cjũch
coágulo (m)|ee cuet, ee lul
escarcha (f)|ẽe cytã'
vena (f)|ee watse, ee wetse
temprano en la noche|ẽeīi cus
temprano (adv)|ẽeīi, cusīi
diario (adj)|een i sa
cada día|een isa
atento (adj)|eena'
despejado (el día) (adj)|eena'
luz (f)|eena'
en la luz|eena'te
mediodía (m)|ẽepyãj
hemorragia (f)|eeswee, cacue yu'
arriba (adv)|ẽete, ẽesu, tjacue
estrella fugaz (f)|ẽewee
colmillo (m)|efy
sementera (f)|ej
pasar (v.t)|ejẽw-, iicjẽw-, jycjẽw-
corriente (del río) (m)|ejme, ejmejme
temblor (de tierra) (m)|ejnd u'jni- , quiwe ẽseni
verano (m)|ejnz, enz en, sec en
cucharón (m)|ejwa
peña (f)|ejy
derrumbarse (v.r)|ejy saapajcy-, ejy upe-
derrumbe (m)|ejy u'cj
arbusto (m)|ẽjyã
rama (de arbusto)|ẽjya cu'ta
hoja (de arbusto)|ẽjyã ets
trapiche (m)|el apichi, tlaapichi
cosquillas (f.pl)|ele
día (m)|en
tiempo (m)|en
llegar la hora (v.i)|en ãj-
hacer buen tiempo (v.i)|en ewuu-
componerse (el tiempo)|en ewũu-
tener tiempo (v.i)|en ji'pj-, tundu-
flotar (v.i)|enda-
dos (adj)|e'nz
de dos en dos|e'nz e'nz
dos veces|e'nz us
aguado (adj)|enzh, shul'
ambos (adj.pl)|e'nzīi
segundo (adj)|e'nztewe'sh
rastrojo (m)|epsa, scuutyj dyi'tj ej
piojo (m)|ẽs
frailejón (planta) (m)|ẽs ets, we'pe ẽs
liendre (f)|ẽs zits
detrás (adv)|e'scjẽ
derrotar (v.t)|e'scjẽ nvijt-
rechazar (v.t)|e'scjẽ nvijt-
moverse (v.r)|ẽse-, (rep) ẽse'se-
liviano (adj)|ẽse, dujmẽe
aligerar (v.t)|ẽsee-
ponerse liviano (v.i)|ẽsee-
quieto (adj)|ẽsemẽe
paralítico (adj)|ẽseya' ãjasamẽe
hipo (m)|e'sh
coca (f)|ẽsh
campo de coca|ẽsh ej
mascar coca|ẽsh pe'tse-, ẽsh ũ'we-
mambear (v.t)|ẽsh u'we-, ẽsh wa'cy-, ẽsh pe'tse-
oso (m)|e'shavy
tener hipo (v.i)|e'shi'j-
tosferina (f)|e'shwee
seguir  (v.i)|e'ste u'j-, e'ste yuj-
siguiente (adj)|e'stewe'sh
menor (de edad o en importancia) (adj)|e'stewe'sh, nuuch, nuuchsa
después (adv)|e'su
atrás (adv)|e'su, e'ste
hoja (de papel)|ets
hoja (f)|ets
papel (m)|ets
colibrí, esmeralda (ave) (m)|e'ts, e'tscuẽ
chupaflor (ave) (m)|e'tscuẽ
esmeralda (ave) (f)|e'tscuẽ
frío (m)|etse
hacer frío (v.i)|etse yuu-
apuntar (por escrito) (v.t)|etste ãsh-
asentar partida (v.t)|etste caashi’j-
pasar lista (v.t)|etste pa'ya-
bien (adv)|ew
obediente (adj)|ew nwẽese'jsa
venir (ajustarse) (v.i)|ew pa'j-
hacer bien (v.t)|ew yũu-
bueno (adj)|ew, ewsa
hola! (Interj)|ewcha, ewchacue
mal (adv)|ewmẽe
levantar mala fama|ewmẽe tutje-, canzh tutje-
malicia (f)|ewmẽe yaacyni
hacer mal (v.t)|ewmẽe yũu-
pecar (v.i)|ewmẽe yuu-, pcalte wete-
acusar (v.t)|ewmẽe yuwe ũs-
mal (m)|ewmeesa
malo (adj)|ewmeesa, canzh
ser condenado (v.i)|ewmeete neeyũu- (lit. quedar en mal)
condenar (v.t)|ewmeete nvijt-
aprobar (v.t)|ewna jí-, ewa' j í-
fino (adj)|ewsa
quedar libre (v.i)|ewte neeyuu-
salvarse (v.r)|ewte neeyũu-
ser salvo (v.i)|ewte neeyũu- (lit. quedar en bien)
librar (v.t)|ewte nvijt-
componerse (v.i)|ewũu-
apagar (v.t)|fichja-
moteado (adj)|fi'cue
día festivo|fiesta en
celebrar fiesta (v.t)|fiesta vit-, fiesta'j-, caascjẽu'j-, yu'scjẽw-
silbar (v.i)|fi'fy-, fyu'fy-, (rep) fyu'fyu'ju-
marchitar (v.t)|fīi-
aparte (adv)|fii, fiite
poner sombrero (v.t)|fīic-
quitar sombrero (v.t)|fīicunde-
al revés (adv)|fiiju , ca'tu tupyrra
ahorrar (v.t)|fiina, (rep) finfiina-
enfriar (v.t)|fiinze'j-
escribir (v.t)|fi'j-
rayado (p.p)|fi'j, pend, peendu'jni
escrito (p.p)|fi'jni
perdiz (ave) (f)|fi'l
descoyuntar (v.t)|fillunde-, fillute-
cana (f)|fime
disolver (v.t)|find-
coyuntura (f)|findy
frío (adj)|finze
tierra fría|finze quiwe
hacer fresco (v.i)|finze yuu-
atardecer (v.impers)|fi'nze-, cus-
tarde (f)|fi'nze, cusni
vivir (v.i)|fi'nze-, ya'fi'nze-, ītyī fi'nze
enfriar (v.i)|finzẽe-
por la tarde|fi'nzetste, cusutste
guacharaca (ave) (f)|finzh
pavo del monte (m)|finzh cjũch, finzh wala
codo (m)|finzha
escribiente (m)|fi'pju'chsa (lit. ayuda-escribir)
mosca (f)|fīsh, fynej
nudillo (yerba) (m)|fitscu'ng
espesarse (v.i)|fitse-
cuí, conejillo de Indias (m)|fitsj
despertar (v.t)|fīty-
semilla (f)|fiw
recoger (semillas, granos) (v.t)|fiwúu-, pcjacj-
diferente (adj)|fiy
distinto (adv)|fiy
extraño (adj)|fiy
hablar distinto|fiy we'we-
pensar mal (v.t)|fiy yajcy-, ewmẽe yajcy-
cambiar de aspecto (v.i)|fiy yuu-
portarse mal (v.i)|fiy yũu-
adelantarse (ganar la delantera a alguien)(v.r)|fiyajts-
estar desalentado (v.i)|fiycãj-
sentir extraño (v.i)|fiycãj-
extrañarse (v.r)|fiyuu-, (rep) fiyu'yu-
descoyuntar (v.t)|flndy pang-
desenfrenar (v.t)|frenu's pajnde-
deshojar (maíz) (v.t)|fycaach-
amero (m)|fycach
lechero (árbol) (m)|fychacha
enjuagar (v.t)|fyneecu'c-
saliva (f)|fyne'sh
sitio abandonado (m)|fynu
rogar (v.t)|fytjaa we'we-
padecer (v.i)|fytjaa yuu-, pa'ga yuu-
garrote (m)|fytũ
madera (f)|fytũ
palo (m)|fytũ
rama (de árbol) (f)|fytũ cu'ta
carpintero (m)|fytũ ũ'tssa
árbol (m)|fytũ, fytũu tash
bodoquera (f)|fytũpatj
comején (insecto) (m)|fytũu chica, fytũu wes, fytũu ũ'sa
corteza (f)|fytũu cja'ty
corteza de árbol|fytũu cja'ty
hoja (de árbol)|fytũu ets
astilla (f)|fytũu pe'la
bordón (m)|fytũu vica
raíz de árbol|fytũu watse
savia (f)|fytũu yu'
cerbatana (f)|fytũupatj
ala (f)|fyu cu'ta, jyu cu'ta (T)
volar (v.i)|fyuj- (jyuj- T)
clavar (v.t)|fyuts-
desclavar (v.t)|fyutstende-, fyutsunde-
desarmar (v.t)|fyutsunde-
desarmar (v.i)|fyutsute-
golpe (m)|icani
matar (v.t)|icj-
charco (m)|īcj
llegar de un viaje (v.i)|īcj-
tener visiones (v.i)|ī'cj-
inundar (v.t)|īcj uta-
lago, laguna (m)|īcj wala
mar (m)|īcj wala
océano (m)|īcj wala
visiones (f.pl)|ī'cjwe'sh
suya (de usted) (pron.pos)|i'cue jīi
tuya (pron.pos)|i'cue jīi, ijcha jīi
ustedes|i'cue'sh
regañar (v.t)|īcy-
regaño (m)|īcy we'weni
reprender (v.t)|ícy-, īcywe'we-
censurar (v.t)|īcywe'we-
aglomerarse (v.r)|iica'cana us-
hacer estanque (v.t)|īicja'j
demorar (hasta mediodía) (v.i)|iiẽepyaj-, yẽepyãj-
usado (p.p)|iijyũnisa
usar (v.t)|iijyũu-, cseelpi'j-
sumamente (adv)|iimẽj
inmenso (adj)|iimẽj wala
casarse (la mujer)|iimi'-
cerrar la boca (v.t)|iimujcue-
defenderse (v.r)|iindeewe-
callo (m)|iindeweni
suyo (de usted) (pron.pos)|iindy jīi
tuyo (pron.pos)|iindy jīi
tu (pron.pos)|iindy, i'cue, icha
confrontar (v.t)|iindyi'pu-
hacerse responsable por otro (v.t)|iipe'j
responsabilizarse (v.t)|iipe'j-
hacer sombra (v.t)|iipshũ'j-
enemistarse (v.r)|iipuii yuu-
celos (m.pl)|iipyãani
tener celos (v.i)|iipyãj-, piipyãj-
poner falda (v.t)|īis-
cada (adj)|iisa
marca (f)|iisawa'jni
mostrenco (adj)|iisawa'jnimẽe
viejo (adj)|īish, īishcuẽ
envejecerse (hombre) (v.r)|īishi-, tjẽ'je-
vejez (f)|īishweete, penzhweete
prematuro (adv)|iitee, iitey
maduro (adj)|īits, tjẽ'j
cocer (v.t)|īitse'j-
cocido (p.p)|īitse'jni
cocinera (f)|íitse'jsa, csinela
madurar (v.i)|íitsũu-
cortarse (el pelo) (v.t)|iiwajca-
dejarse coger (v.i)|iiwe-
moler finito (v.t)|iiwees-, (rep) iiweesu's-
orgulloso (adj)|iiwejch
jactarse (v.r)|iiwejch we'we-
orgullo (m)|iiwejch we'weni, iiwejch yaacyni
enorgullecerse (v.r)|iiwejch yajcy-
sentir orgulloso (v.i)|iiwejch yajcy-
ser amado (v.i)|iiwejndy-
arraigar (echar raíces) (v.i)|iiwejtse-
casarse (el hombre)|iiyuu-
junto (adv)|ij
cohabitar (hacer vida marital) (v.t)|ij fi'nze-
convivir (v.i)|ij fi'nze-
disparar (v.t)|ījpa-
hilo (m)|ilu
ensartar (v.t)|ilu watsu-
estiércol (m)|ime
excremento (m)|ime
para ti|indy jīi, i'cue jīi,
usted (pron)|indy, i'cue
tú (pron)|indy, i'cue, ijcha
contigo|indy, yacj, i'cue, yacj
sin motivo (adv)|ī'nẽe, ī'nrráa
infierno (m)|infiernu
inyectar (v.t)|inyección qui'p-
corroído (p.p)|inzũ'ni
oxidado (p.p)|inzu'ni, baytu'cni
cargar (a cuestas) (v.t)|īpjy-
candela (f)|ipy
fuego (m)|ipy
fogón (m)|ipy ca't
llama (de fuego) (f)|ipy cleechi
tulpa (f)|ipy cuet
ascua (f)|ipy ñiñ
rojizo (adj)|ipy ñiñ
antorcha (f)|ipy pqui'tani
prender (candela) (v.i)|ipy quityãa-, ñiñi-
tizón (m)|ipy tyjic
crudo (adj)|īqui
vestirse (mujer) (v.r)|is- (īis- )
cierto (adj)|isa
verdad (f)|isa
contar (v.t)|isa-
ensayar (v.t)|isa-
medir (v.t)|isa-
pesar (v.t)|isa-
probar (v.t)|isa-
romana (f)|isani
mentir (v.t)|ishīi-
engañar (v.t)|íshīi-, (fig) cjalma tyaj-
verdaderamente (adv)|īshiimẽe
chlsmear (v.t)|īshiina nuywe'we-
mentira (f)|īshiini
mentiroso (adj)|īshiisa
honda (f)|i'sutj
nariz (f)|īts
cocer (hervir un líquido) (v.i)|īts-
fosa nasal (f)|īts cafy
hemorragia nasal (f)|īts yachni
vivo (adj)|ītyī
vida (f)|ītyī fi'nzeni, ītyī fi'nzewa'j, fi'nzeni , fi'nzewa'j
estar despierto (v.i)|ītyī ũs-
viviente (adj)|ītyīsa, fi'nzesa
perder (v.t)|iviit-
pene (m)|iw, chull
escapar (v.i)|iyu-
huir  (v. i)|iyu-, ũpj-
estregar (v.t)|ja'll-
arisco (adj)|jamby
esquivo (adj)|jamby
esquivar (v.t)|jamby-
igual (adj)|ja'nda, fiymẽe
desigual (adj)|ja'ndamẽe
juntamente (adv)|ja'ndarraj
muy (árbol) (m)|jande
atrancar (v.t)|jatj- (atj-)
carrizo (sirve para flauta) (m)|jaw
chorrlzo (m)|jemb
izquierdo, a (adj)|jemb-
a la izquierda|jembte, jembu
mano izquierda (f)|jembu cuse
zurdo (adj)|jembu cuseju
paladar (m)|je'ng
yerba (que enloquece) (f)|jẽp
sollozar (v.i)|jetu'tu-
decir (con cita directa)|ji-
conocer (v.t)|jii-
pertenecer (v.i)|jīi
enterarse (de un asunto) (v.i)|jii neeyũu- (lit. quedar sabiendo)
redimir (v.t)|jīi vit-
saber (v.t)|jii-, jiyu-
ignorante (adj)|jiimeesa
descendente (m,f)|ji'j
linaje (m)|ji'j
raza (f)|ji'j
para (destino o fin) (prep)|jīl
caballo (m)|jimba
tábano (m)|jimba apj
cuartilla (del caballo) (f)|jimba chinda pẽty
danta (f)|jimba cjũch
crin (f)|jimba dycjas
camino de herradura|jimba dyi'j
anca (de caballo) (f)|jimba ji'mbe
potra, potranca (f)|jimba luuch
potro, potranco (m)|jimba luuch
relinchar (v.i)|jimba pembẽe-
yegua (f)|jimba u'y
casco (uña del pie del caballo) (m)|jimba vyllili
muslo (m)|ji'mbe
poseer (v.t)|ji'pi-
tener (v.t)|ji'pj-
rico (adj)|ji'pjsa
enriquecerse (v.r)|ji'pjsa yuu-
contener (v.t)|ji'pju-
bienes (m.pl)|ji'pjuni
comprender (v.t)|jiyu-
entender (v.t)|jiyu-
reconocer (v.t)|jiyu-
desconocido (adj)|jiyunimeesa
conocido (adj)|jiyunisa
con (prep: indica el medio o instrumento)|-ju
de, desde (prep)|-ju,-u,-uj
jueves (m)|jueves
horno (m)|julnu
año pasado|jũ'na aañu
anoche (adv)|jũ'na cus
antenoche (adv)|jũ'na cuscjẽ
semana pasada|jũ'na qui'su, ũ'na qui'su
ayer (adv)|jũ'na, ũ'na
a favor de (adv)|ju'ngu
apoyar (v.t)|ju'ngu we'we-
hablar a favor|ju'ngu we'we-
favorecer (v.t)|ju'ngu yuu-
partidario (m)|ju'ngusa
jurar (v.t)|juraī-
severamente (adv)|juuna'
violento (adv)|juuna'
forzar (v.t)|juuna' yuu-
tratar con severidad (v.t)|juuna' yuu-
temible (adj)|juuna'sa
más (adv)|jwee
más y más|jweeīirrãa
asomar (v.i)|jweelu-
agüinche (m)|jwẽenzh
biznieta (f)|jweete ntsun
biznieto (m)|jweete ntsun
acabar (v.t)|jya'j-
terminar (v.t)|jyã'j-, ptsuu-
vaciar (granos) (v.t)|jyamb-
parálisis (f)|jyandu wee
redondear (v.t)|jyandu'j-
paralizar (v.t)|jyandũu-
tocar (v.t)|jya'ndy-, (rep) jya'ndyi'ndy-
palpar (v.t)|jya'ndy-, (rep) jya'ndyi'ndyi-
vaciar (v.t)|jyãsh-
guardar (v.t)|jyaw-
vaciar (líquido) (v.t)|jyaw-
autorizar (v.t)|jycaaj-
ordenar (v.t)|jycaaj-
gobernante (m)|jycaajsa
mandatario (m)|jycaajsa
orden (f)|jycaani
día feriado|jycaase en
ponerse (camisa, ruana)(v.t)|jycajts-
quitarse (ruana) (v.t)|jycatsunde-
limpiar mugre (rito del brujo) (v.t)|jychanzha-
desechar una acusación (v.t)|jycja'ctende-, jycja'cunde-
librarse (desechar una acusación) (v.r)|jycja'ctende-, jycja'cunde-
tragar (v.t)|jycjẽe-
limpiarse (a uno mismo) (v.r)|jycjũucj-
cráneo (m)|jycuet dyi'tj
dejarse quitar|jycuusa'j-
hacerse tarde (v.t)|jycuusu-
desenfundar (v.t)|jycuutyi'j-
dar a luz (v.i)|jycuutyl'j-
descuido (m)|jypa’yacynimẽe
aceptar (v.t)|jypa'ga-
acoger (v.t)|jypa'ga-
recibir (v.t)|jypa'ga- (jypa'ca-)
fracturar (v.t)|jypang-
cuidado! (interj)|jypa'yacy!
descuidado (adj)|jypa'yajcymẽe
poner sobre el hombro (v.t)|jypeecypacy-
criar (a un huérfano) (v.t)|jype'j-
cortarse (con machete) (v.r)|jypejcue-
entenado (hijo adoptivo) (m)|jype'jnisa
hundirse (v.r)|jypendãa-
bañarse (con yerba)|jypẽw-
apuntar (un arma) (v.t)|jypey-
enganchar (v.t)|jypujts-
equivocarse (v.r)|jypumba-
acertadamente (adv)|jypumbamẽe, shiingmẽe
equivocación (f)|jypumbani
oler (v.t)|jyputã-
coger rastro (perro) (v.t)|jyputa, (rep) jyputa'ta-
blusa de lana (f)|jypuuts atyj
